date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
11:54:02	125/125	---MCZ	404	error ('Not%20Found')	text/html	date:Thu,%2031%20Aug%202017%2006:24:01%20GMT	http://urban-walks.com/robots.txt		(from )
11:54:02	6562/6562	---MCZ	200	added ('OK')	text/html	etag:W/%2257229e8d-19a2%22	http://urban-walks.com/mobile/	C:/My%20Web%20Sites/mobile/urban-walks.com/mobile/index.html	(from )
11:54:03	5625/5625	---M--	200	added ('OK')	image/png	etag:%2257229e8d-15f9%22	http://urban-walks.com/static/img/fav/apple-touch-icon-57x57.png	C:/My%20Web%20Sites/mobile/urban-walks.com/static/img/fav/apple-touch-icon-57x57.png	(from http://urban-walks.com/mobile/)
11:54:03	15003/15003	---M--	200	added ('OK')	image/png	etag:%2257229e8d-3a9b%22	http://urban-walks.com/static/img/fav/apple-touch-icon-114x114.png	C:/My%20Web%20Sites/mobile/urban-walks.com/static/img/fav/apple-touch-icon-114x114.png	(from http://urban-walks.com/mobile/)
11:54:04	7636/7636	---M--	200	added ('OK')	image/png	etag:%2257229e8d-1dd4%22	http://urban-walks.com/static/img/fav/apple-touch-icon-72x72.png	C:/My%20Web%20Sites/mobile/urban-walks.com/static/img/fav/apple-touch-icon-72x72.png	(from http://urban-walks.com/mobile/)
11:54:05	5975/5975	---M--	200	added ('OK')	image/png	etag:%2257229e8d-1757%22	http://urban-walks.com/static/img/fav/apple-touch-icon-60x60.png	C:/My%20Web%20Sites/mobile/urban-walks.com/static/img/fav/apple-touch-icon-60x60.png	(from http://urban-walks.com/mobile/)
11:54:05	21412/21412	---M--	200	added ('OK')	image/png	etag:%2257229e8d-53a4%22	http://urban-walks.com/static/img/fav/apple-touch-icon-144x144.png	C:/My%20Web%20Sites/mobile/urban-walks.com/static/img/fav/apple-touch-icon-144x144.png	(from http://urban-walks.com/mobile/)
11:54:06	8338/8338	---M--	200	added ('OK')	image/png	etag:%2257229e8d-2092%22	http://urban-walks.com/static/img/fav/apple-touch-icon-76x76.png	C:/My%20Web%20Sites/mobile/urban-walks.com/static/img/fav/apple-touch-icon-76x76.png	(from http://urban-walks.com/mobile/)
11:54:06	16334/16334	---M--	200	added ('OK')	image/png	etag:%2257229e8d-3fce%22	http://urban-walks.com/static/img/fav/apple-touch-icon-120x120.png	C:/My%20Web%20Sites/mobile/urban-walks.com/static/img/fav/apple-touch-icon-120x120.png	(from http://urban-walks.com/mobile/)
11:54:08	23437/23437	---M--	200	added ('OK')	image/png	etag:%2257229e8d-5b8d%22	http://urban-walks.com/static/img/fav/apple-touch-icon-152x152.png	C:/My%20Web%20Sites/mobile/urban-walks.com/static/img/fav/apple-touch-icon-152x152.png	(from http://urban-walks.com/mobile/)
11:54:10	30413/30413	---M--	200	added ('OK')	image/png	etag:%2257229e8d-76cd%22	http://urban-walks.com/static/img/fav/apple-touch-icon-180x180.png	C:/My%20Web%20Sites/mobile/urban-walks.com/static/img/fav/apple-touch-icon-180x180.png	(from http://urban-walks.com/mobile/)
11:54:10	11591/11591	---M--	200	added ('OK')	image/png	etag:%2257229e8d-2d47%22	http://urban-walks.com/static/img/fav/favicon-96x96.png	C:/My%20Web%20Sites/mobile/urban-walks.com/static/img/fav/favicon-96x96.png	(from http://urban-walks.com/mobile/)
11:54:11	25263/25263	---M--	200	added ('OK')	image/png	etag:%2257229e8d-62af%22	http://urban-walks.com/static/img/fav/favicon-160x160.png	C:/My%20Web%20Sites/mobile/urban-walks.com/static/img/fav/favicon-160x160.png	(from http://urban-walks.com/mobile/)
11:54:11	1417/1417	---M--	200	added ('OK')	image/png	etag:%2257229e8d-589%22	http://urban-walks.com/static/img/fav/favicon-16x16.png	C:/My%20Web%20Sites/mobile/urban-walks.com/static/img/fav/favicon-16x16.png	(from http://urban-walks.com/mobile/)
11:54:11	2659/2659	---M--	200	added ('OK')	image/png	etag:%2257229e8d-a63%22	http://urban-walks.com/static/img/fav/favicon-32x32.png	C:/My%20Web%20Sites/mobile/urban-walks.com/static/img/fav/favicon-32x32.png	(from http://urban-walks.com/mobile/)
11:54:11	33938/33938	---M--	200	added ('OK')	image/png	etag:%2257229e8d-8492%22	http://urban-walks.com/static/img/fav/favicon-192x192.png	C:/My%20Web%20Sites/mobile/urban-walks.com/static/img/fav/favicon-192x192.png	(from http://urban-walks.com/mobile/)
11:54:12	19171/19171	---M--	200	added ('OK')	text/css	etag:%2257229e8d-4ae3%22	http://urban-walks.com/mobile/static/css/style.css	C:/My%20Web%20Sites/mobile/urban-walks.com/mobile/static/css/style.css	(from http://urban-walks.com/mobile/)
11:54:13	3245/3245	---M--	200	added ('OK')	image/png	etag:%2257229e8d-cad%22	http://urban-walks.com/mobile/static/img/fb.png	C:/My%20Web%20Sites/mobile/urban-walks.com/mobile/static/img/fb.png	(from http://urban-walks.com/mobile/)
